advantages,availability,brand,breadcrumbs,description,files,images,name,price,properties,rating,sku,video_id
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески",,,"https://techno-angel.ru/uploads/catalog/image/source_45.jpg,https://techno-angel.ru/uploads/gallery/image/source_9bf9968ba66fcd5847b7f3153c7e28c1_6.jpg","Леска триммерная STIHL круглого сечения 2,0 мм х 123 м",710,[{'Артикул': '00009302337'}],5.00,00022238,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески",,,"https://techno-angel.ru/uploads/catalog/image/source_1234.jpg,https://techno-angel.ru/uploads/gallery/image/source_2ae0d3df45b6a056f116ec80d3a10ced_2.jpg","Леска триммерная STIHL пятиугольного сечения 3,0 мм х 60 м",710,[{'Артикул': '00009303344'}],5.00,00022242,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески",,,"https://techno-angel.ru/uploads/catalog/image/source_bbb.jpg,https://techno-angel.ru/uploads/gallery/image/source_fe2b637de76201cb7b3ae67142449174.jpg","Леска триммерная STIHL пятиугольного сечения 2,7 мм х 80 м",710,[{'Артикул': '00009303302'}],4.00,00022241,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески",,,"https://techno-angel.ru/uploads/catalog/image/source_1234_3.jpg,https://techno-angel.ru/uploads/gallery/image/source_c1c8ef148e410e0098fe7b82268633a0.jpg","Леска триммерная STIHL квадратного сечения 3,0 мм х 55 м",695,[{'Артикул': '00009302644'}],5.00,00022236,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески","В нашем интернет-магазине легко прибрести леску для триммера Stihl 00009302344 3 мм х 55 м без лишних переплат. Предлагаем товары оригинального производства, в качестве которых не придется сомневаться.",,https://techno-angel.ru/uploads/catalog/image/source_14_7.jpg,Леска для триммера STIHL 00009302344 3 мм х 55 м,685,"[{'Наличие в магазинах': 'Щукинская ', 'Артикул': '00009302344'}]",5.00,00018269,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески",,,"https://techno-angel.ru/uploads/catalog/image/source_1234_2.jpg,https://techno-angel.ru/uploads/gallery/image/source_37d6299cd1b4bd18f043cdbbdf44066a_2.jpg","Леска триммерная STIHL круглого сечения 3,0 мм х 55 м",685,[{'Артикул': '00009302344'}],5.00,00018269,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески","В нашем интернет-магазине легко прибрести леску для триммера Stihl 00009302645 3,3 мм х 40 м без лишних переплат. Предлагаем товары оригинального производства, в качестве которых не придется сомневаться.",,https://techno-angel.ru/uploads/catalog/image/source_11_56.jpg,"Леска для триммера STIHL 00009302645 3,3 мм х 40 м",605,"[{'Наличие в магазинах': 'Щукинская ', 'Артикул': '00009302645'}]",5.00,00022237,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески","В нашем интернет-магазине легко прибрести струну триммерную Stihl Durocut 4.0 XL 00009303505 4 мм 48 шт без лишних переплат. Предлагаем товары оригинального производства, в качестве которых не придется сомневаться.",,"https://techno-angel.ru/uploads/catalog/image/source_9_3.jpg,https://techno-angel.ru/uploads/gallery/image/source_91_3.jpg",Струна триммерная STIHL Durocut 4.0 XL 00009303505 4 мм 48 шт,600,"[{'Наличие в магазинах': 'Щукинская ', 'Артикул': '00009303505'}]",5.00,0009911,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески",,,"https://techno-angel.ru/uploads/catalog/image/source_234_2.jpg,https://techno-angel.ru/uploads/gallery/image/source_8a4227923c147bd1e3e49c14ae20c81c.jpg","Леска триммерная STIHL квадратного сечения 3,3 мм х 40 м",605,[{'Артикул': '00009302645'}],4.00,00022237,
,,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","Stihl AutoCut, косильная головка - 2- или 4-струнная, для косьбы и работ по расчистке. ",,https://techno-angel.ru/uploads/catalog/image/source_1_100.jpg,Триммерная головка STIHL AutoCut C 05-2,1091,"[{'Наличие в магазинах': 'Щукинская ', 'Леска': '2 мм', 'Совместимость': 'FSE 60/71/81, FS 38, FS 45 ', 'Артикул': '40067102105'}]",5.00,000742,
,not,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_trimmernaya_golovka_policut_22_k_fsa_45.jpg,Триммерная головка STIHL Policut 2-2,940,[{'Артикул': '40087102102\t\t'}],5.00,00022947,
,not,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","Stihl PolyCut, косильная головка - универсальный режущий инструмент для работ по расчистке и обработке больших площадей. С тремя подвижными пластиковыми ножами.",,https://techno-angel.ru/uploads/catalog/image/source_1_101.jpg,Триммерная головка STIHL PolyCut 06-3,910,"[{'Наличие в магазинах': 'Щукинская ', 'Применение': 'мягкая сорная трава, жесткая сорная трава ', 'Совместимость': 'FS 38, FS 45 ', 'Артикул': '40067102110'}]",4.00,0001254,
,not,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_52.jpg,Шпуля с кордом STIHL FSE-52,455,"[{'Леска': '1.6 мм', 'Артикул': '40087104300\t\t\t'}]",5.00,00011438,
,not,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_shpulya_s_kordom_fse41.jpg,Шпуля с кордом STIHL FSE-41,380,"[{'Леска': '1.6 мм', 'Артикул': '62357104305   \t\t'}]",5.00,0009872,
,not,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_shpulya_s_kordom_fse31.jpg,Шпуля с кордом STIHL FSE-31,380,"[{'Леска': '1.6 мм', 'Артикул': '64217104300   \t\t\t'}]",5.00,0009871,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","В нашем интернет-магазине легко прибрести триммерную головку Stihl Durocut 40-4 40057102106 для FS 250/560 без лишних переплат. Предлагаем товары оригинального производства, в качестве которых не придется сомневаться.",,https://techno-angel.ru/uploads/catalog/image/source_23.jpg,Триммерная головка STIHL Durocut 40-4 40057102106 для FS 250/560,2810,"[{'Наличие в магазинах': 'Щукинская ', 'Совместимость': 'FS 250/560 ', 'Артикул': '40057102106'}]",5.00,0009875,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_trimmernaya_golovka_durocut_404.jpg,Триммерная головка STIHL DuroCut 40-4,2810,"[{'Леска': '4 мм', 'Артикул': '40057102106\t\t'}]",5.00,0009875,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_trimmernaya_golovka_supercut_402.jpg,Триммерная головка STIHL Supercut 40-2,2785,"[{'Леска': '2.4 мм', 'Артикул': '40037102140\t\t'}]",4.00,0009870,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","Stihl AutoCut, косильная головка - 2- или 4-струнная, для косьбы и работ по расчистке. ",,https://techno-angel.ru/uploads/catalog/image/source_1_103.jpg,Триммерная головка STIHL AutoCut 40-2,2035,"[{'Наличие в магазинах': 'Щукинская ', 'Леска': '2.7 мм', 'Совместимость': 'FS 300/310, FS 350, FS 400-K/400, FS 450-K/450, FS 480-K/480 ', 'Артикул': '40037102125'}]",5.00,000664,
  Надежность  3 режущих ножа  Высокопрочный пластик  Безопасность  ,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","Успейте купить триммерную головку Stihl Polycut 41-3 40037102113 по самой выгодной цене. На сайте представлен широкий ассортимент продукции от известных брендов «Stihl» и «Viking», который не оставит равнодушным ни одного покупателя. Сервисное обслуживание в гарантийный и послегарантийный периоды Вы сможете осуществить в любом официальном сервисном центре. Непосредственно ознакомиться с товаром можно в нашем магазине на Волоколамском шоссе, где Вы получите исчерпывающую дополнительную консультацию.",,"https://techno-angel.ru/uploads/catalog/image/source_1_221.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_145.jpg",Триммерная головка STIHL Polycut 41-3 40037102113,1705,"[{'Наличие в магазинах': 'Щукинская ', 'Совместимость': 'для FS 350, 490, 560 ', 'Артикул': '40037102113'}]",5.00,00026543,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","В нашем интернет-магазине легко прибрести триммерную головку Stihl DuroCut 20-2 40027102167 без лишних переплат. Предлагаем товары оригинального производства, в качестве которых не придется сомневаться.",,https://techno-angel.ru/uploads/catalog/image/source_19_2.jpg,Триммерная головка STIHL DuroCut 20-2 40027102167,1600,"[{'Наличие в магазинах': 'Щукинская ', 'Совместимость': 'FS 55/70, C-E/87/90/100/130/250 ', 'Артикул': '40027102167'}]",5.00,0007779,
 Для расчистки территории и скашивания травы. Простая установка струн или корда. В комплекте с 12 струнами. ,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_202.jpg,Триммерная головка STIHL DuroCut 20-2,1600,"[{'Леска': '3 мм', 'Артикул': '40027102167\t\t\t'}]",4.00,0007779,
"  Профессиональные применение.  Работа в любой среде: сухой, влажной, пыльной.  Кошение травы любой высоты.  Проверенная надёжная заправка лески.  ",yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_autocut_462.jpg,Триммерная головка STIHL Autocut 46-2,1540,"[{'Наличие в магазинах': 'Щукинская ', 'Леска': '2.7 мм', 'Совместимость': 'FS350/FS400 ', 'Артикул': '40037102115 '}]",4.00,00022089,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","В нашем интернет-магазине легко прибрести триммерную головку Stihl DuroCut 5-2 40067102125 для FS 38/45/50 без лишних переплат. Предлагаем товары оригинального производства, в качестве которых не придется сомневаться.",,https://techno-angel.ru/uploads/catalog/image/source_25.jpg,Триммерная головка STIHL DuroCut 5-2 40067102125 для FS 38/45/50,1515,"[{'Наличие в магазинах': 'Щукинская ', 'Совместимость': 'FS 38/45/50 ', 'Артикул': '40067102125'}]",4.00,00022243,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_trimmernaya_golovka_durocut_052.jpg,Триммерная головка STIHL DuroCut 5-2,1515,"[{'Леска': '2.4 мм', 'Артикул': '40067102125\t\t'}]",4.00,00022243,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","В нашем интернет-магазине легко прибрести триммерную головку Stihl Supercut 20-2 40027102162 для FS 44–106 FR106 без лишних переплат. Предлагаем товары оригинального производства, в качестве которых не придется сомневаться.",,https://techno-angel.ru/uploads/catalog/image/source_20.jpg,Триммерная головка STIHL Supercut 20-2 40027102162 для FS 44–106 FR106,1415,"[{'Наличие в магазинах': 'Щукинская ', 'Совместимость': 'FS 44/106, FR106 ', 'Артикул': '40027102162'}]",5.00,0009869,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_trimmernaya_golovka_supercut_202.jpg,Триммерная головка STIHL Supercut 20-2,1415,"[{'Леска': '2.4 мм', 'Артикул': '40027102162\t\t'}]",4.00,0009869,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","В нашем интернет-магазине легко прибрести триммерную головку Stihl Autocut C 04-2 40067102121 для FSA 65/85 без лишних переплат. Предлагаем товары оригинального производства, в качестве которых не придется сомневаться.",,https://techno-angel.ru/uploads/catalog/image/source_18.jpg,Триммерная головка STIHL Autocut C 04-2 40067102121 для FSA 65/85,1335,"[{'Леска': '2 мм', 'Наличие в магазинах': 'Щукинская ', 'Совместимость': 'FSA 65/85 ', 'Артикул': '40067102121'}]",4.00,0009864,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_trimmernaya_golovka_autocut_c_042.jpg,Триммерная головка STIHL Autocut C 04-2,1335,"[{'Леска': '2 мм', 'Артикул': '40067102121\t\t'}]",5.00,0009864,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","В нашем интернет-магазине легко прибрести триммерную головку Stihl Autocut 36-2 40027102170 для FS120/250/131 без лишних переплат. Предлагаем товары оригинального производства, в качестве которых не придется сомневаться.",,https://techno-angel.ru/uploads/catalog/image/source_24_3.jpg,Триммерная головка STIHL Autocut 36-2 40027102170 для FS120/250/131,1310,"[{'Леска': '3.3 мм', 'Наличие в магазинах': 'Щукинская ', 'Совместимость': 'FS120/250/131 ', 'Артикул': '40027102170'}]",5.00,00025698,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","Stihl AutoCut, косильная головка - 2- или 4-струнная, для косьбы и работ по расчистке. ",,https://techno-angel.ru/uploads/catalog/image/source_49fbe83a06e2a53307a5aff31cb22f87.jpg,Триммерная головка STIHL AutoCut C 25-2,1300,"[{'Наличие в магазинах': 'Щукинская ', 'Леска': '2.4 мм', 'Совместимость': 'FS 55, FS 80/87, FS 90, FS 100, FS 130, FS 250, FR 350, FR 130 T, FR 450/480  ', 'Артикул': '40027102108'}]",4.00,000663,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","В нашем интернет-магазине легко прибрести триммерную головку Stihl Autocut 2-2 40087102100 для FSE 52 без лишних переплат. Предлагаем товары оригинального производства, в качестве которых не придется сомневаться.",,"https://techno-angel.ru/uploads/catalog/image/source_17_3.jpg,https://techno-angel.ru/uploads/gallery/image/source_172.jpg",Триммерная головка STIHL Autocut 2-2 40087102100 для FSE 52,1145,"[{'Леска': '1.6 мм', 'Наличие в магазинах': 'Щукинская ', 'Совместимость': 'FSE 52 ', 'Артикул': '40087102100'}]",5.00,00018894,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_trimmernaya_golovka_autocut_22.jpg,Триммерная головка STIHL Autocut 2-2,1145,"[{'Леска': '1.6 мм', 'Артикул': '40087102100\t\t\t'}]",5.00,00018894,
  Полупрофессионале применение.  Кошение низкой по высоте травы.  Кошение сухой и влажной травы.  Упрошенная заправка леской с одной стороны.  ,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_autocut_c_262.jpg,Триммерная головка STIHL Autocut C 26-2,1105,"[{'Наличие в магазинах': 'Щукинская ', 'Леска': '2.4 мм', 'Совместимость': 'Fs-55-130, FR-131 ', 'Артикул': '40027102169'}]",5.00,00022068,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_203.jpg,Триммерная головка STIHL Policut 20-3,1090,[{'Артикул': '40027102130   \t\t'}],5.00,000684,
  Надежность  3 режущих ножа  Высокопрочный пластик  Безопасность  ,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки","Успейте купить триммерную головку Stihl Polycut 7-3 40067102127 по самой выгодной цене. На сайте представлен широкий ассортимент продукции от известных брендов «Stihl» и «Viking», который не оставит равнодушным ни одного покупателя. Сервисное обслуживание в гарантийный и послегарантийный периоды Вы сможете осуществить в любом официальном сервисном центре. Непосредственно ознакомиться с товаром можно в нашем магазине на Волоколамском шоссе, где Вы получите исчерпывающую дополнительную консультацию.",,https://techno-angel.ru/uploads/catalog/image/source_11_55.jpg,Триммерная головка STIHL Polycut 7-3 40067102127,1030,"[{'Наличие в магазинах': 'Щукинская ', 'Совместимость': 'для FS-38, 45 ', 'Артикул': '40067102127'}]",5.00,00026532,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_trimmernaya_golovka_autocut_252.jpeg,Триммерная головка STIHL Autocut 25-2,985,"[{'Леска': '2.4 мм', 'Артикул': '40027102108   \t\t'}]",5.00,000741,
"      Поворотная косильная головка Для аккуратной стрижки краев в труднодоступных местах - под кустами и живыми изгородями - косильную головку можно ступенчато поворачивать. Управление осуществляется просто, с помощью педали.       Защитные очки Для Вашей безопасности в стандартную комплектацию входят защитные очки. Они хорошо обдуваются и имеют широкую боковую защиту.       Приспособление для разгрузки сетевого кабеля от натяжения Предотвращает случайное отсоединение вилки при подтягивании кабеля.       Регулировка рукоятки без инструмента Рукоятка-скоба легко регулируется в соответствии с индивидуальными требованиями - без помощи специального инструмента.       Круговая рукоятка С помощью практичной круговой рукоятки косилку очень легко и удобно вести. Положение круговой рукоятки можно отрегулировать по своему росту и конкретной операции.      ",not,Stihl,"Каталог техники STIHL,Триммеры для травы,Электрические",Лёгкий и очень удобный ,https://techno-angel.ru/uploads/items/file/stihl_fse_31_41.pdf,"https://techno-angel.ru/uploads/catalog/image/source_16_18.jpg,https://techno-angel.ru/uploads/gallery/image/source_15_20.jpg,https://techno-angel.ru/uploads/gallery/image/source_11_27.jpg,https://techno-angel.ru/uploads/gallery/image/source_12_26.jpg,https://techno-angel.ru/uploads/gallery/image/source_13_26.jpg,https://techno-angel.ru/uploads/gallery/image/source_21_16.jpg",Триммер электрический STIHL FSE 31,2390,"[{'Наличие в магазинах': 'Щукинская ', 'Напряжение': '230 В', 'Двигатель': 'Электрический ', 'Мощность': '245 Вт', 'Расположение двигателя': 'Нижнее ', 'Термореле': 'нет ', 'Штанга': 'Изогнутая ', 'Разъемный вал': 'нет ', 'Режущий инструмент': 'Косильная головка со шпулей ', 'Рукоятка': 'Рукоятка-скоба ', 'Привод': 'Гибкий вал ', 'Общая длина': '1.1 м.', 'Вес': '2.2 кг.', 'Артикул': '48150114103'}]",4.50,0008036,
